13:45:50.973 recv:<= 10 7b 01 7c 16 
13:45:50.973 send:<= 10 09 01 0a 16 
13:45:51.130 recv:<= 10 5b 01 5c 16 
13:45:51.130 send:<= 10 09 01 0a 16 
13:45:51.288 recv:<= 10 7b 01 7c 16 
13:45:51.288 send:<= 10 09 01 0a 16 
13:45:51.446 recv:<= 10 5b 01 5c 16 
13:45:51.446 send:<= 10 09 01 0a 16 
13:45:51.603 recv:<= 10 7b 01 7c 16 
13:45:51.603 send:<= 10 09 01 0a 16 
13:45:51.761 recv:<= 10 5b 01 5c 16 
13:45:51.761 send:<= 10 09 01 0a 16 
13:45:51.917 recv:<= 10 7b 01 7c 16 
13:45:51.917 send:<= 10 09 01 0a 16 
13:45:52.074 recv:<= 10 5b 01 5c 16 
13:45:52.074 send:<= 10 09 01 0a 16 
13:45:52.231 recv:<= 10 7b 01 7c 16 
13:45:52.231 send:<= 10 09 01 0a 16 
13:45:52.387 recv:<= 10 5b 01 5c 16 
13:45:52.387 send:<= 10 09 01 0a 16 
13:45:52.543 recv:<= 10 7b 01 7c 16 
13:45:52.543 send:<= 10 09 01 0a 16 
13:45:52.700 recv:<= 10 5b 01 5c 16 
13:45:52.700 send:<= 10 09 01 0a 16 
13:45:52.857 recv:<= 10 7b 01 7c 16 
13:45:52.857 send:<= 10 09 01 0a 16 
13:45:53.015 recv:<= 10 5b 01 5c 16 
13:45:53.015 send:<= 10 09 01 0a 16 
13:45:53.173 recv:<= 10 7b 01 7c 16 
13:45:53.173 send:<= 10 09 01 0a 16 
13:45:53.330 recv:<= 10 5b 01 5c 16 
13:45:53.330 send:<= 10 09 01 0a 16 
13:45:53.487 recv:<= 10 7b 01 7c 16 
13:45:53.487 send:<= 10 09 01 0a 16 
13:45:53.645 recv:<= 10 5b 01 5c 16 
13:45:53.645 send:<= 10 09 01 0a 16 
13:45:53.801 recv:<= 10 7b 01 7c 16 
13:45:53.801 send:<= 10 09 01 0a 16 
13:45:53.957 recv:<= 10 5b 01 5c 16 
13:45:53.957 send:<= 10 09 01 0a 16 
13:45:54.115 recv:<= 10 7b 01 7c 16 
13:45:54.115 send:<= 10 09 01 0a 16 
13:45:54.273 recv:<= 10 5b 01 5c 16 
13:45:54.273 send:<= 10 09 01 0a 16 
13:45:54.530 recv:<= 68 0a 0a 68 73 01 64 01 06 01 00 00 00 1d fd 16 
13:45:54.530 send:<= 10 00 01 01 16 
13:45:54.686 recv:<= 10 5b 01 5c 16 
13:45:54.687 send:<= 68 0a 0a 68 08 01 64 01 07 01 00 00 00 1d 93 16 
13:45:54.944 recv:<= 10 7b 01 7c 16 
13:45:54.945 send:<= 68 29 29 68 08 01 15 90 1d 01 00 01 40 00 00 39 2b 78 2c 55 2c 47 4c 1a 4c 38 4c 75 00 93 00 8a 00 be 8f 62 90 30 90 60 90 60 83 ff ff 75 16 
13:45:55.488 recv:<= 10 5b 01 5c 16 
13:45:55.488 send:<= 68 0a 0a 68 08 01 64 01 0a 01 00 00 00 1d 96 16 
13:45:55.745 recv:<= 10 7b 01 7c 16 
13:45:55.745 send:<= 10 09 01 0a 16 
13:45:55.902 recv:<= 10 5b 01 5c 16 
13:45:55.902 send:<= 10 09 01 0a 16 
13:45:56.214 recv:<= 68 10 10 68 73 01 67 01 06 01 00 00 00 96 db 2d 0d 06 0c 13 b3 16 
13:45:56.214 send:<= 68 10 10 68 00 01 67 01 07 01 00 00 00 96 db 2d 0d 06 0b 13 40 16 
13:45:56.527 recv:<= 10 5b 01 5c 16 
13:45:56.527 send:<= 10 09 01 0a 16 
13:45:56.683 recv:<= 10 7b 01 7c 16 
13:45:56.683 send:<= 10 09 01 0a 16 
13:45:56.840 recv:<= 10 5b 01 5c 16 
13:45:56.840 send:<= 10 09 01 0a 16 
13:45:56.997 recv:<= 10 7b 01 7c 16 
13:45:56.997 send:<= 10 09 01 0a 16 
13:45:57.153 recv:<= 10 5b 01 5c 16 
13:45:57.153 send:<= 10 09 01 0a 16 
13:45:57.310 recv:<= 10 7b 01 7c 16 
13:45:57.310 send:<= 10 09 01 0a 16 
13:45:57.467 recv:<= 10 5b 01 5c 16 
13:45:57.467 send:<= 10 09 01 0a 16 
13:45:57.623 recv:<= 10 7b 01 7c 16 
13:45:57.623 send:<= 10 09 01 0a 16 
13:45:57.778 recv:<= 10 5b 01 5c 16 
13:45:57.778 send:<= 10 09 01 0a 16 
13:45:57.936 recv:<= 10 7b 01 7c 16 
13:45:57.936 send:<= 10 09 01 0a 16 
13:45:58.093 recv:<= 10 5b 01 5c 16 
13:45:58.093 send:<= 10 09 01 0a 16 
13:45:58.251 recv:<= 10 7b 01 7c 16 
13:45:58.251 send:<= 10 09 01 0a 16 
13:45:58.408 recv:<= 10 5b 01 5c 16 
13:45:58.408 send:<= 10 09 01 0a 16 
13:45:58.564 recv:<= 10 7b 01 7c 16 
13:45:58.564 send:<= 10 09 01 0a 16 
13:45:58.720 recv:<= 10 5b 01 5c 16 
13:45:58.720 send:<= 10 09 01 0a 16 
13:45:58.876 recv:<= 10 7b 01 7c 16 
13:45:58.876 send:<= 10 09 01 0a 16 
13:45:59.033 recv:<= 10 5b 01 5c 16 
13:45:59.033 send:<= 10 09 01 0a 16 
13:45:59.191 recv:<= 10 7b 01 7c 16 
13:45:59.191 send:<= 10 09 01 0a 16 
13:45:59.347 recv:<= 10 5b 01 5c 16 
13:45:59.347 send:<= 10 09 01 0a 16 
13:45:59.504 recv:<= 10 7b 01 7c 16 
13:45:59.504 send:<= 10 09 01 0a 16 
13:45:59.662 recv:<= 10 5b 01 5c 16 
13:45:59.662 send:<= 10 09 01 0a 16 
13:45:59.819 recv:<= 10 7b 01 7c 16 
13:45:59.819 send:<= 10 09 01 0a 16 
13:45:59.976 recv:<= 10 5b 01 5c 16 
13:45:59.976 send:<= 10 09 01 0a 16 
13:46:00.133 recv:<= 10 7b 01 7c 16 
13:46:00.133 send:<= 10 09 01 0a 16 
13:46:00.289 recv:<= 10 5b 01 5c 16 
13:46:00.290 send:<= 10 09 01 0a 16 
13:46:00.447 recv:<= 10 7b 01 7c 16 
13:46:00.447 send:<= 10 09 01 0a 16 
13:46:00.603 recv:<= 10 5b 01 5c 16 
13:46:00.603 send:<= 10 09 01 0a 16 
13:46:00.760 recv:<= 10 7b 01 7c 16 
13:46:00.760 send:<= 10 09 01 0a 16 
13:46:00.918 recv:<= 10 5b 01 5c 16 
13:46:00.918 send:<= 10 09 01 0a 16 
13:46:01.074 recv:<= 10 7b 01 7c 16 
13:46:01.074 send:<= 10 09 01 0a 16 
13:46:01.231 recv:<= 10 5b 01 5c 16 
13:46:01.231 send:<= 10 09 01 0a 16 
13:46:01.389 recv:<= 10 7b 01 7c 16 
13:46:01.389 send:<= 10 09 01 0a 16 
13:46:01.546 recv:<= 10 5b 01 5c 16 
13:46:01.546 send:<= 10 09 01 0a 16 
13:46:01.704 recv:<= 10 7b 01 7c 16 
13:46:01.704 send:<= 10 09 01 0a 16 
13:46:01.862 recv:<= 10 5b 01 5c 16 
13:46:01.862 send:<= 10 09 01 0a 16 
13:46:02.118 recv:<= 68 0a 0a 68 73 01 64 01 06 01 00 00 00 14 f4 16 
13:46:02.118 send:<= 10 20 01 21 16 
13:46:02.275 recv:<= 10 5a 01 5b 16 
13:46:02.275 send:<= 68 0a 0a 68 28 01 64 01 07 01 00 00 00 14 aa 16 
13:46:02.532 recv:<= 10 7a 01 7b 16 
13:46:02.532 send:<= 68 0b 0b 68 28 01 01 82 14 01 00 01 00 01 00 c3 16 
13:46:02.800 recv:<= 10 5a 01 5b 16 
13:46:02.800 send:<= 68 29 29 68 28 01 15 90 14 01 00 01 40 00 00 39 2b 78 2c 55 2c 47 4c 1a 4c 38 4c 75 00 93 00 8a 00 be 8f 62 90 30 90 60 90 60 83 ff ff 8c 16 
13:46:03.341 recv:<= 10 7a 01 7b 16 
